hhid	pid	sim_id	mobile_sim_ownership	mobile_sim_access	nb_handsets	network	contract	airtime_expt	calls_per_day	coverage	first_usage_m	first_usage_y	reason_multiple1	reason_multiple2	reason_multiple_other	reason_separate	reason_separate_other
1265041.0	1	1	1		1	1	2	700	8	2	99	9999					
1265067.0	1	1	1		1	1	1	600	3	2	7	2005					
1265076.0	1	1	1		1	1	1	400	3	2	5	2005					
1265080.0	1	1	1		1	1	1	200	2	2	5	2003					
1266074.0	1	1	1		2	1	2	600	5	1	7	2007					
1266112.0	1	1	1		1	1	2	1000	10	1	2	2006					
1266099.0	1	1	1		1	1	2	500	5	2	8	2000					
1266046.0	1	1	2	1		1	1	300	2	3	12	2007					
1266035.0	1	1	1		1	1	1	9999999	3	1	9	2003					
1266086.0	1	1	2	1		1	2	500	3	1	1	2007					
1266117.0	2	1	2	1		1	2	200	2	1	7	2007					
1266061.0	1	1	1		1	1	2	800	6	1	7	2000					
1266022.0	1	1	1		1	1	2	700	7	1	3	2004					
1267018.0	5	1	1		1	1	2	9999999	2	1	99	2006					
1267052.0	6	1	1		1	1	2	500	5	1	4	2000					
1267034.0	3	1	1		1	1	2	3000	3	1	99	2005					
1267057.0	1	1	1		3	3	2	2000	6	1	99	2002	1				
1267057.0	1	2	1		3	1	2	9000	10	1	99	2002	1				
1267057.0	1	3	1		3	2	2	500	2	1	99	2002	1				
1267028.0	4	1	1		1	1	2	3000	10	4	11	2004					
1267051.0	1	1	1		1	1	2	3000	5	1	99	2002					
1267005.0	2	1	1		1	1	1	350	4	1	10	2005					
1267003.0	1	1	1		2	1	1	3000	5	3	99	2002					
1267010.0	2	1	1		1	1	2	500	3	1	99	2005					
1267069.0	1	1	1		2	1	2	500	5	1	99	2004	5				
1267069.0	1	2	1		2	1	2	200	2	1	99	2004	5				
1269019.0	1	1	2	1		1	1	500	3	1	1	2006					
1269064.0	1	1	2	1		1	2	300	7	1	9	2006					
1269037.0	1	1	1		1	1	2	800	6	1	4	2008	6				
1269037.0	1	2	1		1	2	2	800	6	1	4	2008	6				
1269028.0	2	1	1		1	1	2	80	1	1	2	2007					
1269082.0	1	1	1		1	1	2	600	4	1	1	2007					
1269010.0	1	1	2	1		2	1	200	2	1	3	2007					
1269001.0	1	1	1		1	1	1	500	5	1	1	2003					
1269073.0	2	1	1		1	1	2	600	3	1	8	2006					
1269055.0	2	1	1		3	1	2	15000	999	1	99	2007	3				
1269055.0	2	2	1		3	1	2	3000	1	1	99	2007	3				
1270025.0	2	1	2	1		1	2	1000	999	2	1	2004					
1270104.0	1	1	1		1	1	2	3000	10	1	4	2003					
1270041.0	2	1	2	1		1	2	9999999	2	1	99	2004					
1270021.0	1	1	1		1	1	2	250	1	1	5	2003					
1270072.0	2	1	1		1	2	2	1000	5	1	99	9999					
1272015.0	1	1	1		1	2	2	500	4	1	1	2002					
1272002.0	1	1	1		1	1	2	1000	15	1	8	1999					
1272062.0	1	1	1		1	1	2	9999999	999	1	6	2003					
1274003.0	1	1	1		1	1	2	3000	12	1	4	2003					
1274029.0	1	1	1		1	1	2	1500	6	1	5	2005					
1274016.0	2	1	1		1	1	2	1200	10	1	4	9999					
1274042.0	1	1	1		1	1	2	1200	8	1	3	2007					
1274021.0	2	1	1		1	1	2	550	999	1	2	2008					
1274068.0	1	1	1		1	1	2	506	3	1	2	2007					
1274034.0	2	1	1		1	1	2	300	999	1	3	2007					
1274107.0	2	1	1		1	1	2	500	2	1	2	2004					
1275005.0	2	1	1		2	1	2	500	6	1	4	2005					
1275061.0	1	1	1		2	1	2	1500	7	2	8	2004					
1276132.0	2	1	1		2	1	2	9999999	5	1	12	2001					
1276064.0	1	1	1		1	1	2	1500	2	1	8	2006					
1276078.0	2	1	1		2	1	2	500	3	1	6	2006					
1276037.0	1	1	1		1	1	2	1000	3	1	99	1998					
1276024.0	1	1	1		3	1	2	500	3	1	1	2005	2			6	99
1276024.0	1	2	1		3	2	2	500	5	1	1	2005	2			6	99
1276024.0	1	3	1		3	1	2	1000	5	1	1	2005	2			6	99
1276118.0	1	1	1		2	2	2	9999999	3	1	11	2003	2			6	99
1276118.0	1	2	1		2	2	2	9999999	3	1	11	2003	2			6	99
1276010.0	1	1	1		3	1	2	9999999	999	1	10	1999	1				
1276010.0	1	2	1		3	3	2	9999999	999	1	10	1999	1				
1276010.0	1	3	1		3	1	2	9999999	999	1	10	1999	1				
1276051.0	2	1	1		1	1	2	600	2	1	6	2000					
1276033.0	1	1	1		2	1	2	600	3	1	2	2006	6				
1276033.0	1	2	1		2	1	2	400	999	1	2	2006	6				
1280039.0	1	1	1		1	1	2	1300	4	1	99	9999					
1280039.0	1	2	1		1	1	2	1500	5	1	5	2005	7		9		
1280033.0	1	1	1		1	1	2	9000	10	1	6	2004	2			1	
1280033.0	1	2	1		1	1	2	100	999	1	6	2004	2			1	
1280019.0	1	1	1		1	1	2	200	5	1	8	2007					
1280041.0	1	1	1		1	1	2	500	3	1	7	2007					
