hhid	pid	service	knows_service	used_service	freq_use	daily_msg_call
1265041.0	1	1	1	1	1	0
1265041.0	1	2	1	1	4	0
1265041.0	1	3	1	1	2	0
1265041.0	1	4	1	2		0
1265041.0	1	5	1	1	8	0
1265041.0	1	6	1	1	2	0
1265041.0	1	7	1	2		0
1265041.0	1	8	1	2		0
1265041.0	1	10	1	2		0
1265041.0	1	11	1	1	2	0
1265067.0	1	1	1	1	1	5
1265067.0	1	2	1	1	4	5
1265067.0	1	3	1	1	2	5
1265067.0	1	10	1	2		5
1265067.0	1	11	1	1	1	5
1265067.0	1	12	1	2		5
1265076.0	1	1	1	1	1	3
1265076.0	1	2	1	1	4	3
1265076.0	1	3	1	1	3	3
1265076.0	1	4	1	2		3
1265076.0	1	5	1	2		3
1265076.0	1	6	1	1	1	3
1265076.0	1	9	1	2		3
1265076.0	1	10	1	2		3
1265076.0	1	11	1	1	1	3
1265076.0	1	12	1	2		3
1265080.0	1	1	1	1	1	5
1265080.0	1	2	1	1	4	5
1265080.0	1	3	1	1	3	5
1265080.0	1	5	1	2		5
1265080.0	1	6	1	1	99	5
1265080.0	1	9	1	2		5
1265080.0	1	10	1	2		5
1265080.0	1	11	1	1	3	5
1265080.0	1	12	1	2		5
1266074.0	1	1	1	1	2	4
1266074.0	1	2	1	2		4
1266074.0	1	3	1	1	4	4
1266074.0	1	5	1	2		4
1266074.0	1	6	1	1	8	4
1266074.0	1	7	1	2		4
1266074.0	1	8	1	2		4
1266074.0	1	9	1	2		4
1266074.0	1	10	1	2		4
1266074.0	1	11	1	2		4
1266074.0	1	12	1	1	8	4
1266112.0	1	1	1	1	1	0
1266112.0	1	2	1	1	4	0
1266112.0	1	3	1	1	2	0
1266112.0	1	4	1	2		0
1266112.0	1	5	1	2		0
1266112.0	1	6	1	1	2	0
1266112.0	1	7	1	2		0
1266112.0	1	8	1	2		0
1266112.0	1	10	1	2		0
1266112.0	1	11	1	1	2	0
1266099.0	1	1	1	1	1	0
1266099.0	1	2	1	1	5	0
1266099.0	1	3	1	1	3	0
1266099.0	1	5	1	2		0
1266099.0	1	6	1	1	2	0
1266099.0	1	11	1	1	2	0
1266046.0	1	1	1	1	2	0
1266046.0	1	2	1	2		0
1266046.0	1	3	1	1	2	0
1266046.0	1	5	1	2		0
1266046.0	1	6	1	1	1	0
1266046.0	1	7	1	2		0
1266046.0	1	8	1	2		0
1266046.0	1	10	1	2		0
1266046.0	1	11	1	1	1	0
1266046.0	1	12	1	2		0
1266035.0	1	1	1	1	1	5
1266035.0	1	2	1	1	4	5
1266035.0	1	3	1	1	2	5
1266035.0	1	5	1	2		5
1266035.0	1	9	1	1	5	5
1266035.0	1	11	1	1	7	5
1266086.0	1	1	1	1	8	4
1266086.0	1	2	1	2		4
1266086.0	1	3	1	1	4	4
1266086.0	1	4	1	2		4
1266086.0	1	5	1	2		4
1266086.0	1	6	1	2		4
1266086.0	1	10	1	2		4
1266086.0	1	11	1	2		4
1266117.0	2	1	1	1	2	0
1266117.0	2	2	1	2		0
1266117.0	2	3	1	2		0
1266117.0	2	5	1	2		0
1266117.0	2	6	1	1	2	0
1266117.0	2	11	1	1	2	0
1266061.0	1	1	1	1	1	3
1266061.0	1	2	1	2		3
1266061.0	1	3	1	1	4	3
1266061.0	1	5	1	2		3
1266061.0	1	6	1	1	8	3
1266061.0	1	7	1	2		3
