hhid	pid	mpesa_user	service	mpesa_service_importance	mpesa_service_freq
1265041.0	1	1	4	1	4
1265041.0	1	1	3	2	4
1265041.0	1	1	2	3	8
1265041.0	1	1	7	4	4
1265041.0	1	1	1	5	3
1265041.0	1	1	8	6	4
1265067.0	1	1	4	1	4
1265067.0	1	1	7	2	1
1265067.0	1	1	1	3	4
1265067.0	1	1	8	4	4
1265080.0	1	1	8	1	4
1265080.0	1	1	3	2	4
1265080.0	1	1	1	3	4
1265080.0	1	1	4	4	4
1266112.0	1	1	99		
1266099.0	1	1	99		
1266035.0	1	1	99		
1267057.0	1	1	99		
1267051.0	1	1	99		
1267003.0	1	1	99		
1267069.0	1	1	99		
1269019.0	1	1	4	1	4
1269019.0	1	1	1	2	7
1269019.0	1	1	8	3	4
1269064.0	1	1	3	1	5
1269064.0	1	1	4	2	5
1269037.0	1	1	1	1	2
1269037.0	1	1	4	2	3
1269037.0	1	1	3	3	2
1269037.0	1	1	2	4	2
1269037.0	1	1	8	5	4
1269082.0	1	1	8	0	4
1269082.0	1	1	4	1	4
1269082.0	1	1	3	2	4
1269082.0	1	1	7	3	4
1269082.0	1	1	1	4	4
1269082.0	1	1	2	5	4
1269001.0	1	1	1	0	2
1269001.0	1	1	3	0	4
1269001.0	1	1	4	0	4
1269001.0	1	1	8	0	4
1270104.0	1	2	4	1	4
1270104.0	1	2	3	2	4
1270101.0	1	1	3	1	4
1270101.0	1	1	7	2	4
1270101.0	1	1	1	3	4
1270101.0	1	1	8	4	4
1270031.0	1	2	3	1	6
1270082.0	1	1	3	1	4
1270082.0	1	1	4	2	6
1270093.0	1	1	3	1	4
1270093.0	1	1	5	2	4
1272042.0	1	1	1	0	8
1272042.0	1	1	3	0	8
1272042.0	1	1	8	0	4
1272002.0	1	1	3	1	4
1272002.0	1	1	4	2	4
1272002.0	1	1	1	3	2
1272002.0	1	1	2	4	2
1272002.0	1	1	8	5	4
1272026.0	1	2	3	1	5
1272026.0	1	2	4	2	5
1274003.0	1	1	3	1	4
1274003.0	1	1	4	2	4
1274003.0	1	1	2	3	1
1274003.0	1	1	1	4	1
1274003.0	1	1	8	5	4
1274029.0	1	1	3	1	4
1274029.0	1	1	2	2	8
1274029.0	1	1	1	3	2
1274029.0	1	1	4	4	8
1274029.0	1	1	8	5	4
1275012.0	1	1	3	1	6
1275012.0	1	1	1	2	6
1275012.0	1	1	8	3	4
1275061.0	1	1	7	1	4
1275061.0	1	1	3	2	4
1275061.0	1	1	4	3	4
1275061.0	1	1	2	4	3
1276037.0	1	1	99		
1276024.0	1	1	99		
1276010.0	1	1	99		
1276033.0	1	1	99		
1280039.0	1	1	3	1	3
1280039.0	1	1	1	2	3
1280039.0	1	1	2	3	8
1280039.0	1	1	8	4	4
1280033.0	1	1	3	1	5
1280033.0	1	1	7	2	4
1280033.0	1	1	9	3	4
1280033.0	1	1	1	4	8
1280033.0	1	1	2	5	8
1280033.0	1	1	8	6	4
1280006.0	1	1	3	1	5
1282078.0	1	1	3	1	6
1282078.0	1	1	4	2	6
1282078.0	1	1	1	3	4
1282078.0	1	1	8	4	4
1282036.0	1	1	3	1	4
1282036.0	1	1	1	2	4
1282036.0	1	1	8	3	4
1282020.0	1	1	3	1	4
1282020.0	1	1	7	2	4
1282045.0	1	1	4	1	4
1282045.0	1	1	1	2	2
1282045.0	1	1	2	3	4
1282045.0	1	1	3	4	8
1282045.0	1	1	7	5	4
1282045.0	1	1	9	6	4
1282045.0	1	1	8	7	4
