hhid	pid	mpesa_money_use
1265041.0	1	3
1265067.0	1	1
1265080.0	1	1
1269019.0	1	3
1269064.0	1	1
1269037.0	1	3
1269082.0	1	3
1269001.0	1	1
1270104.0	1	1
1270082.0	1	3
1272002.0	1	3
1272026.0	1	1
1274003.0	1	3
1274029.0	1	3
1275061.0	1	3
1282078.0	1	3
1282045.0	1	3
1283046.0	1	3
1283020.0	1	3
1284035.0	1	3
1284084.0	1	1
1284109.0	1	1
1284022.0	1	3
1294014.0	1	3
1294068.0	1	1
1294137.0	1	1
1297092.0	1	1
1297110.0	1	1
1298084.0	1	3
1298091.0	1	3
1298037.0	1	1
1298054.0	1	3
1299020.0	1	1
1299119.0	1	1
1300005.0	1	3
1300066.0	1	3
1302023.0	1	3
1302002.0	1	1
1302035.0	1	3
1302004.0	1	3
1302017.0	1	3
1303026.0	1	1
1303036.0	1	3
1305074.0	1	3
1305003.0	1	1
1305023.0	1	1
1305034.0	1	1
1305094.0	1	1
1305064.0	1	1
1308028.0	1	3
1308022.0	1	3
1308017.0	1	3
1309008.0	1	3
1309027.0	1	1
1309034.0	1	3
1334029.0	1	3
1334006.0	1	1
1334053.0	1	1
1335042.0	1	3
1335036.0	1	3
1335048.0	1	3
1335030.0	1	1
1336043.0	1	3
1336019.0	1	3
1336035.0	1	1
1336051.0	1	1
1336003.0	1	1
1337048.0	1	3
1338063.0	1	3
1348008.0	1	3
1348061.0	1	1
1348058.0	1	1
1351027.0	1	1
1355009.0	1	1
1356060.0	1	3
1356018.0	1	3
1261034.0	1	3
1261102.0	1	3
1261011.0	1	3
1262031.0	1	3
1262009.0	1	3
1262050.0	1	4
1262072.0	1	1
1262021.0	1	3
1289016.0	1	3
1289040.0	1	1
1310046.0	1	3
1310065.0	1	3
1311123.0	1	1
1311019.0	1	3
1311138.0	1	1
1311093.0	1	3
7069.0	1	1
7020.0	1	1
7004.0	1	3
11059.0	1	3
11158.0	1	3
11074.0	1	1
11109.0	1	1
1376042.0	1	1
1376091.0	1	3
1376018.0	1	1
1377015.0	1	3
1377089.0	1	3
2033.0	1	1
2011.0	1	1
12070.0	1	1
12048.0	1	3
29026.0	1	3
29106.0	1	3
29061.0	1	1
1383138.0	1	3
1383060.0	1	1
