hhid	pid	money_transfers	ever_make_receiv	frequency_transfers	average_transfered_per_time
1265041.0	1	1	2		
1265041.0	1	2	2		
1265041.0	1	3	2		
1265041.0	1	4	2		
1265041.0	1	5	2		
1265041.0	1	6	2		
1265041.0	1	7	2		
1265041.0	1	8	2		
1265067.0	1	1	2		
1265067.0	1	2	2		
1265067.0	1	3	2		
1265067.0	1	4	1	4	3000
1265067.0	1	5	2		
1265067.0	1	6	2		
1265067.0	1	7	2		
1265067.0	1	8	2		
1265080.0	1	1	2		
1265080.0	1	2	2		
1265080.0	1	3	2		
1265080.0	1	4	2		
1265080.0	1	5	2		
1265080.0	1	6	2		
1265080.0	1	7	2		
1265080.0	1	8	2		
1265050.0	2	1	2		
1265050.0	2	2	2		
1265050.0	2	3	2		
1265050.0	2	4	2		
1265050.0	2	5	2		
1265050.0	2	6	2		
1265050.0	2	7	2		
1265050.0	2	8	2		
1265007.0	2	1	2		
1265007.0	2	2	2		
1265007.0	2	3	2		
1265007.0	2	4	2		
1265007.0	2	5	2		
1265007.0	2	6	2		
1265007.0	2	7	2		
1265007.0	2	8	2		
1266112.0	1	1	2		
1266112.0	1	2	2		
1266112.0	1	3	2		
1266112.0	1	4	2		
1266112.0	1	5	2		
1266112.0	1	6	2		
1266112.0	1	7	2		
1266112.0	1	8	2		
1266099.0	1	1	2		
1266099.0	1	2	2		
1266099.0	1	3	2		
1266099.0	1	4	2		
1266099.0	1	5	2		
1266099.0	1	6	2		
1266099.0	1	7	2		
1266099.0	1	8	2		
1266035.0	1	1	2		
1266035.0	1	2	1	5	800
1266035.0	1	3	2		
1266035.0	1	4	2		
1266035.0	1	5	2		
1266035.0	1	6	2		
1266035.0	1	7	2		
1266035.0	1	8	2		
1267018.0	5	1	2		
1267018.0	5	2	2		
1267018.0	5	3	2		
1267018.0	5	4	2		
1267018.0	5	5	2		
1267018.0	5	6	2		
1267018.0	5	7	2		
1267018.0	5	8	2		
1267052.0	6	1	2		
1267052.0	6	2	2		
1267052.0	6	3	2		
1267052.0	6	4	2		
1267052.0	6	5	2		
1267052.0	6	6	2		
1267052.0	6	7	2		
1267052.0	6	8	2		
1267034.0	3	1	2		
1267034.0	3	2	2		
1267034.0	3	3	1	7	2000
1267034.0	3	4	2		
1267034.0	3	5	2		
1267034.0	3	6	2		
1267034.0	3	7	2		
1267034.0	3	8	2		
1267057.0	1	1	2		
1267057.0	1	2	1	4	10000
1267057.0	1	3	1	5	2000
1267057.0	1	4	2		
1267057.0	1	5	2		
1267057.0	1	6	2		
1267057.0	1	7	2		
1267057.0	1	8	2		
1267028.0	4	1	2		
1267028.0	4	2	2		
1267028.0	4	3	2		
1267028.0	4	4	2		
1267028.0	4	5	2		
1267028.0	4	6	2		
1267028.0	4	7	2		
1267028.0	4	8	2		
1267051.0	1	1	2		
1267051.0	1	2	2		
1267051.0	1	3	2		
1267051.0	1	4	2		
1267051.0	1	5	2		
1267051.0	1	6	2		
1267051.0	1	7	2		
1267051.0	1	8	2		
1267003.0	1	1	1	5	5000
1267003.0	1	2	1	5	5000
1267003.0	1	3	1	3	7000
1267003.0	1	4	1	7	1000
1267003.0	1	5	2		
1267003.0	1	6	2		
1267003.0	1	7	1	7	0
1267003.0	1	8	2		
1267010.0	2	1	2		
1267010.0	2	2	2		
1267010.0	2	3	2		
1267010.0	2	4	2		
1267010.0	2	5	2		
1267010.0	2	6	2		
1267010.0	2	7	2		
1267010.0	2	8	2		
1267069.0	1	1	2		
1267069.0	1	2	2		
1267069.0	1	3	2		
1267069.0	1	4	2		
1267069.0	1	5	2		
1267069.0	1	6	2		
1267069.0	1	7	2		
1267069.0	1	8	2		
1269019.0	1	4	1	4	2000
1269064.0	1	1	2		
1269064.0	1	2	2		
1269064.0	1	3	2		
1269064.0	1	4	2		
1269064.0	1	5	2		
1269064.0	1	6	2		
1269064.0	1	7	2		
1269064.0	1	8	2		
1269037.0	1	1	2		
1269037.0	1	2	2		
1269037.0	1	3	2		
1269037.0	1	4	2		
1269037.0	1	5	2		
1269037.0	1	6	2		
1269037.0	1	7	2		
1269037.0	1	8	2		
1269028.0	2	1	2		
1269028.0	2	2	2		
1269028.0	2	3	2		
1269028.0	2	4	2		
1269028.0	2	5	2		
1269028.0	2	6	2		
1269028.0	2	7	2		
1269028.0	2	8	2		
1269082.0	1	1	2		
1269082.0	1	2	2		
1269082.0	1	3	2		
1269082.0	1	4	2		
1269082.0	1	5	2		
1269082.0	1	6	2		
1269082.0	1	7	2		
1269082.0	1	8	2		
1269001.0	1	2	1	2	0
1270025.0	2	2	1	4	3000
1270104.0	1	1	2		
1270104.0	1	2	2		
1270104.0	1	3	2		
1270104.0	1	4	2		
1270104.0	1	5	2		
1270104.0	1	6	2		
1270104.0	1	7	2		
1270104.0	1	8	2		
1270101.0	1	1	2		
1270101.0	1	2	2		
1270101.0	1	3	2		
1270101.0	1	4	2		
1270101.0	1	5	2		
1270101.0	1	6	2		
1270101.0	1	7	2		
1270101.0	1	8	2		
1270031.0	1	1	2		
1270031.0	1	2	2		
1270031.0	1	3	2		
1270031.0	1	4	2		
1270031.0	1	5	2		
1270031.0	1	6	2		
1270031.0	1	7	2		
1270031.0	1	8	2		
1270073.0	2	1	2		
1270073.0	2	2	1	3	1000
1270073.0	2	3	2		
1270073.0	2	4	2		
1270073.0	2	5	2		
1270073.0	2	6	2		
1270073.0	2	7	2		
1270073.0	2	8	2		
1270082.0	1	1	2		
1270082.0	1	2	2		
1270082.0	1	3	2		
1270082.0	1	4	2		
1270082.0	1	5	2		
1270082.0	1	6	2		
1270082.0	1	7	2		
1270082.0	1	8	2		
1270093.0	1	1	2		
1270093.0	1	2	2		
1270093.0	1	3	2		
1270093.0	1	4	2		
1270093.0	1	5	2		
1270093.0	1	6	2		
1270093.0	1	7	2		
1270093.0	1	8	2		
1272042.0	1	1	2		
1272042.0	1	2	2		
1272042.0	1	3	1	4	0
1272042.0	1	4	1	4	1000
1272042.0	1	5	2		
1272042.0	1	6	2		
1272042.0	1	7	2		
1272042.0	1	8	2		
1272002.0	1	7	1	4	0
1272026.0	1	1	2		
1272026.0	1	2	2		
1272026.0	1	3	2		
1272026.0	1	4	2		
1272026.0	1	5	2		
1272026.0	1	6	2		
1272026.0	1	7	2		
1272026.0	1	8	2		
1274003.0	1	1	2		
1274003.0	1	2	2		
1274003.0	1	3	2		
1274003.0	1	4	2		
1274003.0	1	5	2		
1274003.0	1	6	2		
1274003.0	1	7	2		
1274003.0	1	8	2		
1274029.0	1	1	2		
1274029.0	1	2	2		
1274029.0	1	3	2		
1274029.0	1	4	2		
1274029.0	1	5	2		
1274029.0	1	6	2		
1274029.0	1	7	2		
1274029.0	1	8	2		
1274016.0	2	1	2		
1274016.0	2	2	2		
1274016.0	2	3	2		
1274016.0	2	4	2		
1274016.0	2	5	2		
1274016.0	2	6	2		
1274016.0	2	7	2		
1274016.0	2	8	2		
1274034.0	2	1	2		
1274034.0	2	2	2		
1274034.0	2	3	1	4	0
1274034.0	2	4	1	4	100
1274034.0	2	5	2		
1274034.0	2	6	2		
1274034.0	2	7	2		
1274034.0	2	8	2		
1274107.0	2	1	2		
1274107.0	2	2	1	5	1000
1274107.0	2	3	2		
1274107.0	2	4	2		
1274107.0	2	5	2		
1274107.0	2	6	2		
1274107.0	2	7	2		
1274107.0	2	8	2		
1275012.0	1	1	2		
1275012.0	1	2	2		
1275012.0	1	3	2		
1275012.0	1	4	2		
1275012.0	1	5	2		
1275012.0	1	6	2		
1275012.0	1	7	2		
1275012.0	1	8	2		
1275005.0	2	1	1	5	100
1275005.0	2	2	1	4	500
1275005.0	2	3	1	4	100
1275005.0	2	4	1	4	500
1275061.0	1	3	2		
1275061.0	1	4	2		
1275061.0	1	5	2		
1275061.0	1	6	2		
1275061.0	1	7	2		
1275061.0	1	8	2		
1276132.0	2	1	1	4	500
1276132.0	2	2	2		
1276132.0	2	3	2		
1276132.0	2	4	1	4	1000
1276132.0	2	5	2		
1276132.0	2	6	2		
1276132.0	2	7	2		
1276132.0	2	8	2		
1276078.0	2	1	2		
1276078.0	2	2	2		
1276078.0	2	3	1	5	1000
1276078.0	2	4	2		
1276078.0	2	5	2		
1276078.0	2	6	2		
1276078.0	2	7	2		
1276078.0	2	8	2		
1276037.0	1	1	2		
1276037.0	1	2	2		
1276037.0	1	3	1	4	1000
1276037.0	1	4	2		
1276037.0	1	5	2		
1276037.0	1	6	2		
1276037.0	1	7	2		
1276037.0	1	8	2		
1276024.0	1	1	2		
1276024.0	1	2	2		
1276024.0	1	3	2		
1276024.0	1	4	1	5	800
1276024.0	1	5	2		
1276024.0	1	6	2		
1276024.0	1	7	2		
1276024.0	1	8	2		
1276010.0	1	1	1	4	250
1276010.0	1	2	1	5	500
1276010.0	1	3	2		
1276010.0	1	4	2		
1276010.0	1	5	2		
1276010.0	1	6	2		
1276010.0	1	7	1	3	0
1276010.0	1	8	1	4	0
1276033.0	1	1	2		
1276033.0	1	2	2		
1276033.0	1	3	2		
1276033.0	1	4	2		
1276033.0	1	5	2		
1276033.0	1	6	2		
1276033.0	1	7	2		
1276033.0	1	8	2		
1280039.0	1	1	1	3	2000
1280039.0	1	2	2		
1280039.0	1	3	2		
1280039.0	1	4	2		
1280039.0	1	5	2		
1280039.0	1	6	2		
1280039.0	1	7	2		
1280039.0	1	8	2		
1280033.0	1	1	1	4	2000
1280033.0	1	2	2		
1280033.0	1	3	2		
1280033.0	1	4	2		
1280033.0	1	5	2		
1280033.0	1	6	2		
1280033.0	1	7	2		
1280033.0	1	8	2		
1280006.0	1	1	1	5	2000
1280006.0	1	2	2		
1280006.0	1	3	2		
1280006.0	1	4	2		
1280006.0	1	5	2		
1280006.0	1	6	2		
1280006.0	1	7	2		
1280006.0	1	8	2		
1282078.0	1	1	2		
1282078.0	1	2	2		
1282078.0	1	3	1	4	0
1282078.0	1	4	1	7	0
1282078.0	1	5	2		
1282078.0	1	6	2		
1282078.0	1	7	2		
1282078.0	1	8	2		
1282036.0	1	1	1	4	500
1282036.0	1	2	1	5	500
1282036.0	1	3	1	4	100
1282036.0	1	4	2		
1282036.0	1	5	2		
1282036.0	1	6	2		
1282036.0	1	7	2		
1282036.0	1	8	2		
1282003.0	3	1	2		
