hhid	size	head_age	head_gender	head_marital	head_education	read	write	m0_5	f0_5	m6_16	f6_16	m17_39	f17_39	m40	f40	ml5	fl5	ml16	fl16	ml39	fl39	ml40	fl40
2011	2	38	2	1	20	2	2	0	0	0	1	0	1	0	0	0	0	0	0.5	0	0.5	0	0
2022	1	52	2	6	19	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
2033	1	36	1	3	19	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
2043	2	30	1	3	19	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0.5	0.5	0	0
2054	3	39	1	3	19	2	2	0	1	0	0	1	1	0	0	0	0.33333334	0	0	0.33333334	0.33333334	0	0
2056	6	51	1	3	21	4	4	2	0	1	0	0	2	1	0	0.33333334	0	0.16666667	0	0	0.33333334	0.16666667	0
2076	4	38	1	3	19	3	3	1	0	1	0	1	1	0	0	0.25	0	0.25	0	0.25	0.25	0	0
2079	5	51	1	1	13	5	5	0	0	0	0	2	1	1	1	0	0	0	0	0.4	0.2	0.2	0.2
2097	6	63	1	3	15	6	6	0	0	0	1	3	0	1	1	0	0	0	0.16666667	0.5	0	0.16666667	0.16666667
2108	5	44	1	3	21	4	4	1	0	1	0	0	1	1	1	0.2	0	0.2	0	0	0.2	0.2	0.2
7004	4	43	1	3	13	4	4	0	0	1	0	1	0	1	1	0	0	0.25	0	0.25	0	0.25	0.25
7020	4	56	2	6	8	3	3	0	1	0	1	1	0	0	1	0	0.25	0	0.25	0.25	0	0	0.25
7036	5	43	1	3	12	4	4	0	1	2	0	0	1	1	0	0	0.2	0.4	0	0	0.2	0.2	0
7053	7	44	1	3	0	6	6	0	0	0	3	1	2	1	0	0	0	0	0.42857143	0.14285715	0.2857143	0.14285715	0
7069	3	50	1	3	13	3	3	0	0	0	0	1	0	1	1	0	0	0	0	0.33333334	0	0.33333334	0.33333334
7085	3	30	1	3	13	2	2	1	0	0	0	1	1	0	0	0.33333334	0	0	0	0.33333334	0.33333334	0	0
7101	5	44	1	3	21	4	4	0	1	0	2	0	1	1	0	0	0.2	0	0.4	0	0.2	0.2	0
7117	4	67	2	6	8	3	3	0	0	1	0	1	1	0	1	0	0	0.25	0	0.25	0.25	0	0.25
7134	4	48	1	3	13	4	4	0	0	0	0	1	1	1	1	0	0	0	0	0.25	0.25	0.25	0.25
7150	3	88	2	6	0	2	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0.33333334	0.33333334	0.33333334
11010	2	58	2	6	11	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0.5	0	0	0.5
11027	5	36	1	3	13	2	2	0	2	1	0	1	1	0	0	0	0.4	0.2	0	0.2	0.2	0	0
11043	3	65	1	3	9	3	3	0	0	0	0	1	0	1	1	0	0	0	0	0.33333334	0	0.33333334	0.33333334
11059	5	58	1	3	8	5	5	0	0	0	0	2	1	1	1	0	0	0	0	0.4	0.2	0.2	0.2
11074	3	57	1	3	13	3	3	0	0	0	0	1	0	2	0	0	0	0	0	0.33333334	0	0.6666667	0
11092	4	50	2	6	0	3	3	0	0	0	0	1	2	0	1	0	0	0	0	0.25	0.5	0	0.25
11109	4	32	1	3	17	3	3	1	0	0	0	1	2	0	0	0.25	0	0	0	0.25	0.5	0	0
11125	6	50	1	3	13	5	5	0	0	1	1	0	2	1	1	0	0	0.16666667	0.16666667	0	0.33333334	0.16666667	0.16666667
11141	3	28	1	3	13	2	2	0	1	0	0	1	0	0	1	0	0.33333334	0	0	0.33333334	0	0	0.33333334
11158	4	47	1	3	11	4	4	0	0	0	0	1	1	1	1	0	0	0	0	0.25	0.25	0.25	0.25
12004	1	28	2	1	21	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
12011	4	27	2	4	8	2	2	0	0	1	2	0	1	0	0	0	0	0.25	0.5	0	0.25	0	0
12018	4	36	1	3	13	2	2	0	1	0	1	1	1	0	0	0	0.25	0	0.25	0.25	0.25	0	0
12026	8	36	1	3	13	5	5	1	1	2	2	1	1	0	0	0.125	0.125	0.25	0.25	0.125	0.125	0	0
12033	5	34	1	3	0	1	1	2	0	0	1	1	1	0	0	0.4	0	0	0.2	0.2	0.2	0	0
12041	4	34	1	3	13	2	2	1	0	0	1	1	1	0	0	0.25	0	0	0.25	0.25	0.25	0	0
12048	4	72	1	3	22	4	4	0	0	0	1	0	1	1	1	0	0	0	0.25	0	0.25	0.25	0.25
12055	9	60	1	3	0	5	5	2	1	0	0	1	3	1	1	0.22222222	0.11111111	0	0	0.11111111	0.33333334	0.11111111	0.11111111
12063	6	45	1	3	15	4	4	0	1	1	1	0	1	1	1	0	0.16666667	0.16666667	0.16666667	0	0.16666667	0.16666667	0.16666667
12070	2	58	1	3	13	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.5	0.5
15005	7	35	1	3	8	3	3	2	0	2	1	1	1	0	0	0.2857143	0	0.2857143	0.14285715	0.14285715	0.14285715	0	0
15017	4	69	1	5	15	4	4	0	0	0	0	0	2	1	1	0	0	0	0	0	0.5	0.25	0.25
15029	6	49	1	3	15	6	6	0	0	2	1	1	0	1	1	0	0	0.33333334	0.16666667	0.16666667	0	0.16666667	0.16666667
15041	3	30	1	1	9	3	3	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0
15052	5	35	1	3	0	2	2	0	1	1	0	1	1	0	1	0	0.2	0.2	0	0.2	0.2	0	0.2
15064	4	35	1	3	0	2	2	1	0	0	1	1	1	0	0	0.25	0	0	0.25	0.25	0.25	0	0
15076	3	30	1	3	13	2	2	1	0	0	0	1	1	0	0	0.33333334	0	0	0	0.33333334	0.33333334	0	0
