hhid	size	head_age	head_gender	head_marital	head_education	m0_5	f0_5	m6_16	f6_16	m17_39	f17_39	m40	f40	ml5	fl5	ml16	fl16	ml39	fl39	ml40	fl40
2011.0	1	38	2	1	20	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
2022.0	2	52	2	6	19	0	0	0	0	0	2	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
2033.0	6	36	1	3	19	1	0	0	0	0	1	2	2	0.16666667	0.0	0.0	0.0	0.0	0.16666667	0.33333334	0.33333334
2043.0	2	30	1	3	19	0	0	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
2054.0	2	39	1	3	19	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
2056.0	3	51	1	3	21	0	0	2	0	0	0	0	1	0.0	0.0	0.6666667	0.0	0.0	0.0	0.0	0.33333334
2076.0	2	38	1	3	19	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
2079.0	3	51	1	1	13	0	0	0	0	1	1	0	1	0.0	0.0	0.0	0.0	0.33333334	0.33333334	0.0	0.33333334
2097.0	2	63	1	3	15	0	0	0	1	1	0	0	0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0
2108.0	2	44	1	3	21	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
7004.0	1	43	1	3	13	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
7020.0	1	56	2	6	8	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
7036.0	2	43	1	3	12	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
7053.0	4	44	1	3	0	0	0	0	0	0	2	2	0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0
7069.0	5	50	1	3	13	0	0	0	0	2	3	0	0	0.0	0.0	0.0	0.0	0.4	0.6	0.0	0.0
7085.0	4	30	1	3	13	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
7101.0	3	44	1	3	21	0	0	0	1	0	0	1	1	0.0	0.0	0.0	0.33333334	0.0	0.0	0.33333334	0.33333334
7117.0	2	67	2	6	8	0	0	0	0	2	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
7134.0	3	48	1	3	13	0	0	0	1	1	0	0	1	0.0	0.0	0.0	0.33333334	0.33333334	0.0	0.0	0.33333334
7150.0	1	88	2	6	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
11010.0	1	58	2	6	11	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11027.0	1	36	1	3	13	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
11043.0	3	65	1	3	9	0	0	0	0	2	1	0	0	0.0	0.0	0.0	0.0	0.6666667	0.33333334	0.0	0.0
11059.0	2	58	1	3	8	0	0	0	1	1	0	0	0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0
11074.0	4	57	1	3	13	1	0	1	1	0	1	0	0	0.25	0.0	0.25	0.25	0.0	0.25	0.0	0.0
11092.0	1	50	2	6	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
11109.0	2	32	1	3	17	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
11125.0	6	50	1	3	13	0	0	1	1	0	2	2	0	0.0	0.0	0.16666667	0.16666667	0.0	0.33333334	0.33333334	0.0
11141.0	3	28	1	3	13	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
11158.0	4	47	1	3	11	0	0	0	0	1	1	1	1	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.25
12004.0	1	28	2	1	21	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
12011.0	1	27	2	4	8	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
12018.0	2	36	1	3	13	0	0	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
12026.0	3	36	1	3	13	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
12033.0	3	34	1	3	0	0	0	0	0	1	0	1	1	0.0	0.0	0.0	0.0	0.33333334	0.0	0.33333334	0.33333334
12041.0	3	34	1	3	13	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
12048.0	1	72	1	3	22	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12055.0	1	60	1	3	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
12063.0	4	45	1	3	15	0	0	1	0	0	0	1	2	0.0	0.0	0.25	0.0	0.0	0.0	0.25	0.5
12070.0	1	58	1	3	13	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
15005.0	3	35	1	3	8	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
15017.0	1	69	1	5	15	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15029.0	1	49	1	3	15	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15041.0	1	30	1	1	9	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
15052.0	3	35	1	3	0	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
15064.0	2	35	1	3	0	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
15076.0	4	30	1	3	13	0	0	0	0	1	0	1	2	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.5
15088.0	3	34	1	3	13	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
15100.0	1	70	1	3	9	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
15112.0	3	50	1	3	19	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
28002.0	2	59	1	3	13	0	0	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
28003.0	3	49	1	3	13	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
28014.0	1	60	1	5	13	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
28036.0	2	20	1	1	9	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
28047.0	4	39	1	3	8	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
28057.0	5	30	2	1	13	0	0	0	0	1	0	2	2	0.0	0.0	0.0	0.0	0.2	0.0	0.4	0.4
28062.0	1	85	1	3	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28079.0	2	38	1	3	8	0	0	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
28090.0	2	38	1	3	0	0	0	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
28101.0	1	66	2	6	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29011.0	6	51	1	3	21	0	0	1	0	1	0	2	2	0.0	0.0	0.16666667	0.0	0.16666667	0.0	0.33333334	0.33333334
29015.0	1	38	1	3	8	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29026.0	4	36	1	3	13	0	0	0	1	1	0	0	2	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.5
29038.0	3	58	2	6	15	0	0	0	0	0	3	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
29049.0	1	50	1	3	9	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
29061.0	1	58	1	3	13	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29072.0	1	32	1	1	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
29083.0	1	85	1	3	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29095.0	5	45	2	1	8	0	0	0	0	0	0	3	2	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.4
29106.0	6	56	1	3	21	0	0	1	0	0	2	1	2	0.0	0.0	0.16666667	0.0	0.0	0.33333334	0.16666667	0.33333334
43011.0	1	88	1	2	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43022.0	4	24	1	3	0	0	0	0	0	0	1	2	1	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.25
43033.0	3	50	1	3	11	0	0	0	1	0	1	0	1	0.0	0.0	0.0	0.33333334	0.0	0.33333334	0.0	0.33333334
43044.0	4	36	1	3	11	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
43055.0	3	81	1	3	0	0	0	0	0	1	1	0	1	0.0	0.0	0.0	0.0	0.33333334	0.33333334	0.0	0.33333334
43066.0	1	75	1	3	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43077.0	1	67	2	6	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43088.0	1	81	1	3	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43099.0	1	38	1	3	12	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
43110.0	1	31	2	1	13	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
53005.0	2	47	1	3	8	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
53011.0	2	62	2	3	8	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
53018.0	4	52	1	3	21	0	0	1	0	1	0	1	1	0.0	0.0	0.25	0.0	0.25	0.0	0.25	0.25
53024.0	1	80	2	6	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53030.0	1	32	2	1	13	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
53036.0	1	66	2	6	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
53042.0	3	32	1	3	10	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
53049.0	2	61	2	5	18	0	0	2	0	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
53055.0	2	56	1	3	8	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
53061.0	1	47	1	3	9	0	0	1	0	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
56009.0	4	45	1	3	15	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
56017.0	6	48	1	3	13	0	0	0	0	1	1	2	2	0.0	0.0	0.0	0.0	0.16666667	0.16666667	0.33333334	0.33333334
56026.0	1	52	1	3	9	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
56035.0	4	29	1	3	8	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
56044.0	3	68	1	3	8	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
56053.0	4	21	1	3	21	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
56061.0	1	65	2	6	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56070.0	2	59	1	3	0	0	0	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
56079.0	1	21	1	3	9	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56088.0	2	43	1	3	9	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
62002.0	1	26	1	3	12	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
62012.0	1	73	1	3	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62022.0	1	78	1	3	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62042.0	1	69	1	3	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62052.0	1	72	1	3	9	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
62062.0	2	54	1	3	8	0	0	0	0	0	1	0	1	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5
62072.0	1	28	1	3	13	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62082.0	1	52	2	5	9	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
62089.0	1	55	1	3	13	0	0	1	0	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
62092.0	3	66	1	6	0	0	0	0	0	2	0	0	1	0.0	0.0	0.0	0.0	0.6666667	0.0	0.0	0.33333334
94005.0	1	72	1	3	9	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94013.0	2	33	1	4	13	0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5
94018.0	1	27	1	3	12	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94030.0	1	28	1	3	21	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94039.0	4	37	1	3	9	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
94047.0	3	27	1	3	11	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
94056.0	2	31	1	1	13	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
94064.0	5	54	2	3	11	0	0	0	0	1	1	1	2	0.0	0.0	0.0	0.0	0.2	0.2	0.2	0.4
94073.0	4	26	2	3	8	0	0	0	0	1	0	1	2	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.5
94081.0	3	36	2	3	10	0	0	1	1	0	0	1	0	0.0	0.0	0.33333334	0.33333334	0.0	0.0	0.33333334	0.0
112005.0	4	44	1	3	12	0	0	0	1	0	0	2	1	0.0	0.0	0.0	0.25	0.0	0.0	0.5	0.25
112018.0	2	44	1	4	0	0	0	0	0	1	0	1	0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0
112030.0	4	31	1	3	13	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
112043.0	4	30	1	3	8	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
112055.0	4	35	1	3	13	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
112068.0	4	38	1	3	9	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
112081.0	3	30	1	3	0	0	0	0	0	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.33333334	0.6666667
112093.0	2	57	1	3	0	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
112105.0	4	38	1	3	0	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
