hhid	product	monthly_expend
1265041.0	41	350
1265041.0	42	300
1265041.0	43	200
1265041.0	44	1000
1265041.0	45	1000
1265041.0	46	2000
1265041.0	47	500
1265041.0	48	1500
1265041.0	49	503
1265041.0	50	1500
1265041.0	52	500
1265041.0	57	150
1265041.0	60	2500
1265067.0	41	50
1265067.0	43	200
1265067.0	45	200
1265067.0	47	100
1265067.0	49	1500
1265067.0	50	300
1265067.0	53	150
1265067.0	54	50
1265067.0	59	1500
1265076.0	41	100
1265076.0	43	30
1265076.0	46	180
1265076.0	48	200
1265076.0	49	2005
1265076.0	50	400
1265076.0	52	200
1265076.0	53	200
1265076.0	54	100
1265076.0	59	2500
1265080.0	41	100
1265080.0	43	30
1265080.0	46	400
1265080.0	48	250
1265080.0	50	800
1265080.0	52	500
1265080.0	53	250
1265080.0	54	50
1265080.0	59	2500
1265050.0	41	300
1265050.0	42	700
1265050.0	43	200
1265050.0	44	1200
1265050.0	45	2300
1265050.0	46	1500
1265050.0	47	2000
1265050.0	48	500
1265050.0	49	300
1265050.0	50	1000
1265050.0	52	800
1265050.0	53	200
1265050.0	54	150
1265050.0	55	200
1265050.0	58	500
1265050.0	59	3000
1265084.0	41	700
1265084.0	43	50
1265084.0	47	350
1265084.0	50	3000
1265084.0	53	500
1265084.0	54	150
1265084.0	59	3600
1265007.0	41	300
1265007.0	42	400
1265007.0	43	150
1265007.0	45	160
1265007.0	46	280
1265007.0	47	630
1265007.0	48	900
1265007.0	49	1020
1265007.0	50	600
1265007.0	52	1000
1265007.0	53	300
1265007.0	54	200
1265007.0	59	2500
1265016.0	41	200
1265016.0	42	250
1265016.0	43	100
1265016.0	44	600
1265016.0	49	1200
1265016.0	50	500
1265016.0	52	900
1265016.0	60	2500
1265024.0	41	180
1265024.0	42	400
1265024.0	43	160
1265024.0	46	580
1265024.0	47	490
1265024.0	48	350
1265024.0	49	800
1265024.0	50	850
1265024.0	52	560
1265024.0	53	480
1265024.0	60	2480
1265033.0	41	150
1265033.0	42	200
1265033.0	43	100
1265033.0	44	600
1265033.0	47	500
1265033.0	49	500
1265033.0	52	300
1265033.0	53	100
1265033.0	54	100
1265033.0	58	300
1265033.0	59	1200
