hhid	product	weekly_expend	own_cons	gift_cons
1265041.0	26	10	0	0
1265041.0	13	40	0	0
1265041.0	14	40	0	0
1265041.0	15	40	0	0
1265041.0	19	40	0	0
1265041.0	23	40	0	0
1265041.0	3	50	0	0
1265041.0	11	50	0	0
1265041.0	18	50	0	0
1265041.0	27	50	0	0
1265041.0	12	60	0	0
1265041.0	17	60	0	0
1265041.0	31	60	0	0
1265041.0	24	70	0	0
1265041.0	1	80	0	0
1265041.0	21	80	0	0
1265041.0	25	80	0	0
1265041.0	10	100	0	0
1265041.0	29	100	0	0
1265041.0	30	100	0	0
1265041.0	4	120	0	0
1265041.0	16	140	0	0
1265041.0	20	220	0	0
1265067.0	16	5	0	0
1265067.0	26	5	0	0
1265067.0	15	10	0	0
1265067.0	19	20	0	0
1265067.0	25	20	0	0
1265067.0	14	30	0	0
1265067.0	1	40	0	0
1265067.0	3	40	0	0
1265067.0	13	40	0	0
1265067.0	11	50	0	0
1265067.0	24	50	0	0
1265067.0	27	50	0	0
1265067.0	10	60	0	0
1265067.0	23	70	0	0
1265067.0	4	80	0	0
1265067.0	31	100	0	0
1265067.0	20	150	0	0
1265076.0	16	5	0	0
1265076.0	26	5	0	0
1265076.0	11	20	0	0
1265076.0	15	20	0	0
1265076.0	18	20	0	0
1265076.0	19	30	0	0
1265076.0	9	40	0	0
1265076.0	6	50	0	0
1265076.0	7	50	0	0
1265076.0	13	50	0	0
1265076.0	17	50	0	0
1265076.0	24	50	0	0
1265076.0	14	70	0	0
1265076.0	25	70	0	0
1265076.0	1	80	0	0
1265076.0	21	100	0	0
1265076.0	20	102	0	0
1265076.0	12	120	0	0
1265076.0	10	200	0	0
1265076.0	28	500	0	0
1265080.0	26	5	0	0
1265080.0	16	10	0	0
1265080.0	7	20	0	0
1265080.0	15	20	0	0
1265080.0	17	20	0	0
1265080.0	18	20	0	0
1265080.0	25	35	0	0
1265080.0	3	50	0	0
1265080.0	13	50	0	0
1265080.0	19	50	0	0
1265080.0	23	50	0	0
1265080.0	24	50	0	0
1265080.0	2	70	0	0
1265080.0	4	80	0	0
1265080.0	14	90	0	0
1265080.0	10	100	0	0
1265080.0	11	100	0	0
1265080.0	27	100	0	0
1265080.0	1	120	0	0
1265080.0	21	140	0	0
1265080.0	20	150	0	0
1265050.0	26	5	0	0
1265050.0	16	20	0	0
1265050.0	18	30	0	0
1265050.0	15	40	0	0
1265050.0	3	50	0	0
1265050.0	12	50	0	0
1265050.0	19	50	0	0
1265050.0	23	50	0	0
1265050.0	13	60	0	0
1265050.0	27	60	0	0
1265050.0	11	70	0	0
1265050.0	14	80	0	0
1265050.0	17	80	0	0
1265050.0	24	80	0	0
1265050.0	6	100	0	0
1265050.0	25	100	0	0
1265050.0	10	128	0	0
1265050.0	1	150	0	0
1265050.0	21	150	0	0
1265050.0	4	160	0	0
1265050.0	20	240	0	0
1265084.0	26	5	0	0
1265084.0	16	10	0	0
1265084.0	13	50	0	0
1265084.0	15	50	0	0
1265084.0	17	50	0	0
1265084.0	19	50	0	0
1265084.0	23	70	0	0
1265084.0	25	70	0	0
1265084.0	24	80	0	0
1265084.0	27	80	0	0
1265084.0	14	100	0	0
1265084.0	21	120	0	0
1265084.0	1	150	0	0
1265084.0	12	180	0	0
1265084.0	3	200	0	0
1265084.0	20	200	0	0
1265084.0	10	270	0	0
1265084.0	18	0	250	0
1265007.0	12	20	0	0
1265007.0	26	25	0	0
1265007.0	16	50	0	0
1265007.0	8	60	0	0
1265007.0	7	70	0	0
1265007.0	23	80	0	0
1265007.0	2	100	0	0
1265007.0	14	100	0	0
1265007.0	15	100	0	0
1265007.0	10	120	0	0
1265007.0	13	130	0	0
1265007.0	19	130	0	0
1265007.0	17	150	0	0
1265007.0	18	160	0	0
1265007.0	24	160	0	0
1265007.0	6	170	0	0
1265007.0	1	180	0	0
1265007.0	27	230	0	0
1265007.0	4	250	0	0
1265007.0	21	250	0	0
1265007.0	29	250	0	0
1265007.0	20	300	0	0
1265007.0	25	330	0	0
1265007.0	28	400	0	0
1265016.0	26	10	0	0
1265016.0	16	20	0	0
1265016.0	23	48	0	0
1265016.0	14	50	0	0
1265016.0	19	60	0	0
1265016.0	29	60	0	0
1265016.0	17	80	0	0
1265016.0	27	80	0	0
1265016.0	15	82	0	0
1265016.0	24	100	0	0
1265016.0	10	120	0	0
1265016.0	18	150	0	0
1265016.0	12	170	0	0
1265016.0	25	175	0	0
1265016.0	1	180	0	0
1265016.0	6	180	0	0
1265016.0	21	190	0	0
1265016.0	4	200	0	0
1265016.0	13	200	0	0
1265016.0	20	260	0	0
1265024.0	26	28	0	0
1265024.0	2	60	0	0
1265024.0	16	60	0	0
1265024.0	13	80	0	0
1265024.0	23	85	0	0
1265024.0	29	110	0	0
1265024.0	4	120	0	0
1265024.0	14	120	0	0
1265024.0	17	130	0	0
1265024.0	18	140	0	0
1265024.0	10	150	0	0
1265024.0	15	150	0	0
1265024.0	24	168	0	0
1265024.0	19	180	0	0
1265024.0	27	180	0	0
1265024.0	6	230	0	0
1265024.0	12	300	0	0
1265024.0	1	320	0	0
1265024.0	25	350	0	0
1265024.0	20	800	0	0
1265033.0	26	10	0	0
1265033.0	16	20	0	0
1265033.0	19	20	0	0
1265033.0	15	30	0	0
1265033.0	18	30	0	0
1265033.0	17	40	0	0
1265033.0	14	50	0	0
1265033.0	21	50	0	0
1265033.0	24	50	0	0
1265033.0	27	50	0	0
1265033.0	31	50	0	0
1265033.0	10	60	0	0
1265033.0	25	60	0	0
1265033.0	1	80	0	0
1265033.0	29	100	0	0
1265033.0	20	120	0	0
1265033.0	4	150	0	0
1265033.0	13	150	0	0
1266074.0	26	10	0	0
1266074.0	3	30	0	0
1266074.0	23	50	0	0
1266074.0	8	53	0	0
1266074.0	16	75	0	0
1266074.0	6	78	0	0
1266074.0	15	80	0	0
1266074.0	19	90	0	0
1266074.0	14	100	0	0
1266074.0	13	120	0	0
1266074.0	17	120	0	0
1266074.0	1	130	0	0
1266074.0	24	130	0	0
1266074.0	10	150	0	0
1266074.0	18	150	0	0
1266074.0	4	180	0	0
1266074.0	21	180	0	0
1266074.0	28	200	0	0
1266074.0	27	250	0	0
1266074.0	25	290	0	0
1266074.0	20	760	0	0
1266112.0	26	10	0	0
1266112.0	18	20	0	0
1266112.0	24	30	0	0
1266112.0	16	35	0	0
1266112.0	13	40	0	0
1266112.0	3	50	0	0
1266112.0	12	50	0	0
1266112.0	19	50	0	0
1266112.0	23	50	0	0
1266112.0	27	50	0	0
1266112.0	30	50	0	0
1266112.0	17	60	0	0
1266112.0	11	70	0	0
1266112.0	15	70	0	0
1266112.0	25	80	0	0
1266112.0	1	100	0	0
1266112.0	21	100	0	0
1266112.0	29	100	0	0
1266112.0	14	120	0	0
1266112.0	20	120	0	0
1266112.0	10	220	0	0
1266099.0	26	10	0	0
1266099.0	16	40	0	0
1266099.0	18	40	0	0
1266099.0	19	40	0	0
1266099.0	23	40	0	0
1266099.0	11	50	0	0
1266099.0	17	50	0	0
1266099.0	27	50	0	0
