hhid	product	annual_expend
1265041.0	61	5000
1265041.0	67	3000
1265041.0	65	2500
1265067.0	61	500
1265076.0	73	2000
1265080.0	66	5000
1265080.0	65	3500
1265050.0	61	10000
1265050.0	67	4000
1265050.0	72	2000
1265084.0	69	80000
1265084.0	61	4000
1265084.0	74	500
1265007.0	66	7000
1265007.0	67	5000
1265007.0	69	1500
1265016.0	65	1200
1265016.0	72	700
1265024.0	66	5600
1265024.0	67	3200
1265024.0	65	2200
1265024.0	69	1600
1265033.0	61	2000
1265033.0	74	1000
1265033.0	65	500
1265033.0	62	400
1266074.0	61	750
1266074.0	65	700
1266074.0	62	600
1266112.0	66	5000
1266112.0	68	5000
1266112.0	67	3000
1266112.0	74	3000
1266112.0	62	1600
1266112.0	72	1500
1266112.0	65	1000
1266099.0	67	3000
1266099.0	68	2300
1266099.0	69	1000
1266099.0	72	1000
1266099.0	74	1000
1266046.0	65	500
1266035.0	74	100
1266086.0	69	1300
1266086.0	72	250
1266125.0	61	5000
1266125.0	69	800
1266125.0	65	600
1266117.0	61	7000
1266117.0	66	6000
1266117.0	67	3000
1266117.0	68	2000
1266117.0	69	2000
1266117.0	65	700
1266061.0	67	4000
1266061.0	72	800
1266061.0	62	700
1266061.0	61	600
1266022.0	66	4000
1266022.0	69	1000
1266022.0	68	400
1267018.0	69	100000
1267018.0	72	5000
1267052.0	69	15000
1267034.0	99	0
1267057.0	75	8000
1267057.0	68	5000
1267028.0	99	0
1267051.0	99	0
1267005.0	61	2000
1267005.0	68	300
1267003.0	72	20000
1267003.0	74	2000
1267010.0	63	450000
1267010.0	62	24000
1267010.0	61	20000
1267010.0	69	10000
1267010.0	70	10000
1267010.0	67	5000
1267010.0	68	2900
1267010.0	72	1000
1267069.0	72	50000
1269019.0	75	50000
1269019.0	61	4000
1269064.0	61	2500
1269064.0	68	2500
1269064.0	65	1000
1269064.0	72	1000
1269037.0	69	15600
1269037.0	66	1000
1269028.0	69	18250
1269082.0	61	5000
1269082.0	68	2500
1269082.0	72	2000
1269010.0	61	3000
1269010.0	66	2500
1269010.0	65	1000
1269001.0	61	17000
1269001.0	66	15000
1269001.0	67	3600
1269001.0	65	3000
1269073.0	69	40000
1269073.0	75	20000
1269073.0	61	3000
1269073.0	72	3000
1269055.0	69	124000
1269046.0	99	0
1270025.0	66	17000
1270025.0	67	5000
1270025.0	68	5000
1270025.0	69	3800
1270104.0	69	20000
1270104.0	72	15000
1270104.0	66	10000
1270041.0	69	100000
1270041.0	72	3000
1270041.0	68	2000
1270101.0	64	87000
1270101.0	61	45000
1270101.0	62	31300
1270101.0	69	30000
1270101.0	66	28900
1270101.0	72	10000
1270031.0	69	2700
1270021.0	69	30000
1270072.0	69	40000
1270072.0	70	30000
1270072.0	72	2000
1270072.0	74	1000
