hhid	saving_instrument	instr_usage	importance_rank	safety_rank	use_reason	use_reason_other	non_use_reason	non_use_reason_other	money_loss	times_loss	biggest_loss
1265041.0	1	1	1	1	1				2		
1265041.0	2	1	3	3	2				2		
1265041.0	3	2					4				
1265041.0	4	2					4				
1265041.0	5	1	2	2	2				2		
1265041.0	6	2					9	11			
1265041.0	7	2					9	11			
1265041.0	8	2					9	11			
1265041.0	9	2					8				
1265041.0	10	2					9	11			
1265067.0	1	1	1	1	1				2		
1265067.0	2	1	3	3	6				2		
1265067.0	3	2					4				
1265067.0	4	2					1				
1265067.0	5	1	2	2	2				2		
1265067.0	6	2					1				
1265067.0	7	2					1				
1265067.0	8	2					1				
1265067.0	9	2					1				
1265067.0	10	2					3				
1265076.0	1	1	1	1	1				2		
1265076.0	2	1	3	3	6				2		
1265076.0	3	1	2	2	3				2		
1265076.0	4	2					9	48			
1265076.0	5	2					8				
1265076.0	6	2					1				
1265076.0	7	2					1				
1265076.0	8	2					1				
1265076.0	9	2					1				
1265076.0	10	2					3				
1265080.0	1	1	1	1	1				2		
1265080.0	2	1	3	3	6				2		
1265080.0	3	2					4				
1265080.0	4	2					1				
1265080.0	5	1	2	2	2				2		
1265080.0	6	2					1				
1265080.0	7	2					1				
1265080.0	8	2					1				
1265080.0	9	2					1				
1265080.0	10	2					4				
1265050.0	1	1	1	1	1				2		
1265050.0	2	1	2	4	2				2		
1265050.0	3	2					8				
1265050.0	4	1	4	3	9	19			2		
1265050.0	5	1	3	2	2				2		
1265050.0	6	2					5				
1265050.0	7	2					5				
1265050.0	8	2					5				
1265050.0	9	2					8				
1265050.0	10	2					9	11			
1265084.0	1	1	1	1	1				2		
1265084.0	2	1	3	3	2				2		
1265084.0	3	2					4				
1265084.0	4	1	2	2	2				2		
1265084.0	5	2					4				
1265084.0	6	2					1				
1265084.0	7	2					1				
1265084.0	8	2					1				
1265084.0	9	2					1				
1265084.0	10	2					4				
1265007.0	1	2					7				
1265007.0	2	1	2	2	2				2		
1265007.0	3	2					4				
1265007.0	4	2					4				
1265007.0	5	1	1	1	1				2		
1265007.0	6	2					1				
1265007.0	7	2					1				
1265007.0	8	2					7				
1265007.0	9	2					1				
1265007.0	10	2					1				
1265016.0	1	2					3				
1265016.0	2	1	1	1	2				2		
1265016.0	3	2					4				
1265016.0	4	2					8				
1265016.0	5	2					9	9			
1265016.0	6	2					1				
1265016.0	7	2					1				
1265016.0	8	2					5				
1265016.0	9	2					8				
1265016.0	10	2					7				
1265024.0	1	1	1	1	1				2		
1265024.0	2	1	2	2	2				2		
1265024.0	3	2					4				
1265024.0	4	2					1				
1265024.0	5	2					8				
1265024.0	6	2					1				
1265024.0	7	2					5				
1265024.0	8	2					5				
1265024.0	9	2					1				
1265024.0	10	2					1				
1265033.0	1	2					9	25			
1265033.0	2	1	1	1	2				2		
1265033.0	3	2					4				
1265033.0	4	1	2	2	7				2		
1265033.0	5	2					4				
1265033.0	6	2					3				
1265033.0	7	2					3				
1265033.0	8	2					3				
1265033.0	9	2					8				
1265033.0	10	2					4				
1266074.0	1	1	1	1	1				2		
1266074.0	2	2					1				
1266074.0	3	2					4				
1266074.0	4	2					1				
1266074.0	5	2					9	10			
1266074.0	6	2					5				
1266074.0	7	2					5				
1266074.0	8	2					1				
1266074.0	9	2					1				
1266074.0	10	2					8				
1266112.0	1	1	1	1	1				2		
1266112.0	2	1	2	3	7				2		
1266112.0	3	2					4				
1266112.0	4	2					4				
1266112.0	5	1	3	2	2				2		
1266112.0	6	2					5				
1266112.0	7	2					5				
1266112.0	8	2					5				
1266112.0	9	2					8				
1266112.0	10	2					3				
1266099.0	1	1	1	1	1				2		
1266099.0	2	1	2	2	2				2		
1266099.0	3	2					8				
1266099.0	4	2					8				
1266099.0	5	1	3	3	2				2		
1266099.0	6	2					5				
1266099.0	7	2					5				
1266099.0	8	2					5				
1266099.0	9	2					5				
1266099.0	10	2					8				
1266046.0	1	2					3				
1266046.0	2	1	1	2	1				1	1	1600
1266046.0	3	2					7				
1266046.0	4	1	2	1	1				2		
1266046.0	5	2					7				
1266046.0	6	2					1				
1266046.0	7	1	3	3	6				2		
1266046.0	8	2					1				
1266046.0	9	2					1				
1266046.0	10	2					4				
1266035.0	1	1	1	1	6				2		
1266035.0	2	1	4	4	6				2		
1266035.0	3	2					4				
1266035.0	4	1	3	3	4				2		
1266035.0	5	1	2	2	7				2		
1266035.0	6	2					1				
1266035.0	7	2					1				
1266035.0	8	2					1				
1266035.0	9	2					1				
1266035.0	10	2					3				
1266086.0	1	2					4				
