hhid	pid	sent_remittances	remittance_id	month	sent_behalf	item_sent	item_sent_other	recipient	recipient_other	reason_sending	reason_sending_other	recipient_distance_mtrs	recipient_distance_kms	total_value_sent	received_full	reason_not_full	reason_not_full_other	value_lost	times_lost	money_use	money_use_other	sending_method	sending_method_other	recipient_registered	phone_recipient	phone_recipient_other	sender_cost	recipient_cost	reason_method_usage	reason_method_usage_other	province
2011.0	1	1	3	6	2	1		2		1			20	3000	1				0	7		15					0	0	2		2
2011.0	1	1	4	5	2	1		2		1			20	3000	1				0	7		15					0	0	2		2
2011.0	1	1	5	4	2	1		2		1			20	3000	1				0	8		15					0	0	2		2
2011.0	1	1	6	12	2	3	10	2		7	7		20	8000	1				0												2
2011.0	1	1	1	8	2	1		2		1			20	3000	1				0	7		15					0	0	2		2
2011.0	1	1	2	7	2	1		2		1			20	3000	1				0	7		15					0	0	2		2
2022.0		1	1	8	2	1		5		6			9999	80000	1				0	9	16	2					0	0	3		2
2033.0		1	1	8	2	1		5		5			40	4000	1				10	8		6		1	1		25	30	4		2
2033.0		1	2	3	2	1		5		5			150	2000	1				10	8		6		1	1		25	30	4		2
2043.0	1	1	2	3	2	1		2		1			500	2000	1				0	8		15					0	0	4		2
2043.0	1	1	1	6	2	1		2		1			500	3000	1				0	8		15					0	0	4		2
2076.0	2	1	10	4	2	1		2		1			440	3000	1				0	7		15					0	0	4		2
2076.0	2	1	11	3	2	1		2		1			440	5000	1				0	7		15					0	0	4		2
2076.0	2	1	8	5	2	1		2		1			440	8000	1				0	7		1					0	0	3		2
2076.0	2	1	3	7	2	1		2		1			440	7000	1				0	7		6		1	1		55	0	3		2
2076.0	2	1	12	3	2	1		2		1			440	4000	1				0	7		6		1	1		55	0	3		2
2076.0	2	1	2	8	2	1		2		1			440	5000	1				0	7		6		1	1		55	0	3		2
2076.0	2	1	4	7	2	1		2		1			440	4002	1				0	7		6		1	1		55	0	3		2
2076.0	2	1	5	6	2	1		2		1			440	5000	1				0	7		15					0	0	1		2
2076.0	2	1	7	5	2	1		2		1			440	3000	1				0	7		6		1	1		55	0	2		2
2076.0	2	1	9	4	2	1		2		1			440	2000	1				0	7		6		1	1		55	0	3		2
2076.0	2	1	6	6	2	1		2		1			440	7000	1				0	7		15					0	0	1		2
2076.0	2	1	1	8	2	1		3		1			440	5000	1				0	7		1					0	0	1		2
2079.0	1	1	5	7	2	1		2		1			10	10000	1				0	1		2					0	0	4		2
2079.0	1	1	9	12	2	2		2		1			10	15000	1				0												2
2079.0	5	1	3	6	2	1		3		1			30	5000	1				0	4		15					0	0	4		2
2079.0	1	1	1	8	2	1		2		1			10	7000	1				0	7		1					0	0	4		2
2079.0	4	1	6	3	2	1		3		1			30	2000	1				0	7		15					0	0	4		2
2079.0	1	1	8	1	2	1		3		1			10	9000	1				0	7		1					0	0	4		2
2079.0	4	1	2	7	2	1		3		1			30	20000	1				0	7		15					0	0	4		2
2079.0	1	1	4	5	2	1		2		1			10	8000	1				0	7		1					0	0	4		2
2079.0	1	1	7	3	2	1		2		1			10	6000	1				0	8		2					0	0	4		2
2097.0		1	2	7	2	1		7	19	7	20		100	20000	1				0	9	14	1					0	0	99		2
2097.0		1	5	4	2	1		7	19	7	20		100	70000	1				0	9	14	1					0	0	2		2
2097.0		1	9	12	2	1		7	19	7	20		100	20000	1				0	9	14	1					0	0	2		2
